turn,phase,title,status,depends_on,effort,objective,key_steps,files,acceptance_criteria,verify,notes
V4-T01,P0-truth,Resolve BUG-144 (NOTE-101 discrepancy): bldg1 publisher writes the 'pristine' wide table,done,,M,"Settle the real/synthetic boundary for bldg1 before any provenance claim: audit reports mysql_dummy_publisher inserts a fabricated row into wide sensor_data (MYSQL_TABLE, compose :581) every 30s, contradicting NOTE-101's 'pristine' record.",1) Run bldg1; confirm live: docker logs publisher + SQL MAX(timestamp)/COUNT on sensor_data over 10 min. 2) Confirm code path: build_insert_sql (~:420) + main loop (~:556). 3) Fix: gate wide-table publishing behind PUBLISH_WIDE env (default false) so only synthetic-labeled narrow tables are written; keep narrow publishing intact. 4) If historical fabricated rows exist in sensor_data decide: purge rows after first-publish date OR relabel database1 nature real->mixed with note. 5) Update FIX_TRACKER BUG-144 + append correction note to NOTE-101 row.,mysql-dummy-publish-dev/mysql_dummy_publisher.py; docker-compose.bldg1.yml; bldg1/database_registry.yaml; tasks/FIX_TRACKER.csv,Wide sensor_data row count static across 10 min with publisher running (or registry relabeled mixed with documented rationale); narrow synthetic tables still growing; FIX_TRACKER rows updated with verification evidence.,SQL COUNT checks 10 min apart; docker logs data publisher; grep for MYSQL_TABLE wiring,"2026-08-13 DONE - resolution changed by user clarification: wide-table writes are INTENTIONAL dev-mode top-up (real snapshot loaded manually; physical sensors feed a separate real DB not received here). PUBLISH_WIDE gate built + verified in both states; left =true per user. NO purge. Design recorded in CLAUDE.md, docker-compose.yml, input/database_registry.yaml note, BUG-144 (CLOSED), NOTE-101 (corrected twice). End of development: user flips gate off / removes service and repoints database1 at the real/cloud DB. Follow-on kept: declare bldg1 wide store in datasources.yaml so provenance chips show real instead of 'Unknown Source' (V4-T09 orbit)."
V4-T02,P0-truth,Fix BUG-145: provenance fallback labels unknown tables as REAL,done,,S,provenance.build_tags (provenance.py:73) falls back to BUILTIN_PROVENANCE['live_sensors'] (synthetic=False) for any store key the DataSourceRegistry does not know - an unregistered synthetic table would be chip-labeled real.,"1) Add a distinct 'unknown source' ProvenanceTag (synthetic=None/unknown styling, neutral chip). 2) Change the fallback to it. 3) Unit tests: registered-real, registered-synthetic, unregistered. 4) Check no existing rendering breaks (response footer + sources array).",orchestrator/services/provenance.py; tests/test_provenance*.py,"Unregistered table renders 'unknown source' chip, never 'Live Sensor Data'; unit tests cover all three cases; existing chips unchanged.",pytest -m unit -q (provenance tests),"2026-08-13: UNKNOWN_PROVENANCE tag (source_id=unknown_source, label 'Unknown Source', gray #9CA3AF) added in provenance.py; build_tags unregistered-table fallback switched from BUILTIN_PROVENANCE['live_sensors'] to it. Kept ProvenanceTag.synthetic as bool (False) instead of Optional[None] to avoid API/frontend ripple - the label itself makes no real-data claim. 2 pinned tests updated + 4 new (unknown props, dedup, explicit live_sensors key unchanged, no simulated marker). 56 passed across provenance/datasource suites. NOTE: bldg1's real wide store (store:database1) now renders 'Unknown Source' until declared in bldg1/datasources.yaml - deliberately deferred to V4-T01 which settles what database1 contains."
V4-T03,P0-truth,Split the replay metric (NOTE-142): data-backed vs honest-decline,done,,S,The PASS metric conflates answered-with-data and honest-capability-answer; a decline-everything system scores 100%. Split reporting is the prerequisite for every V4 number.,1) corpus_replay.py: keep both grades as pass-classes but report data_backed_rate and honest_decline_rate separately in the MD + CSV summary (per level and overall). 2) Add grade columns to checkpoint CSV if missing. 3) Do NOT change grading semantics yet - only reporting.,scripts/corpus_replay.py,Replay summary shows the two rates separately per L-level and overall; old single PASS still printed for continuity.,python scripts/corpus_replay.py --sample 12 (smoke) and inspect output MD,"2026-08-13: _generate_report now reports data-backed and honest-decline rates separately (overall + per level) in MD, console, and a NEW <prefix>_summary.csv; legacy combined PASS kept for continuity with an explicit NOTE-142 warning in the MD. Grading semantics untouched. Verified offline with fabricated 12-row fixture (5 data / 4 honest / 3 fail rendered correctly). Grade column already persisted in checkpoint CSV (no change needed). Live smoke deferred to V4-T04. black+flake8 clean."
V4-T04,P0-truth,Re-baseline the 240q replay on bldg1 + bldg2 with split metrics,done,V4-T03,M,The 63.8/70.4 headline predates the honesty fixes and the metric split. Establish the true V4 starting line.,"1) Run bldg1 (swap procedure, flush resp_cache), full 240q replay. 2) Swap to bldg2, repeat. 3) Record data-backed and honest-decline rates per building in FIX_TRACKER NOTE-142 (close it) and in this row's notes. 4) Archive output CSVs under scripts/outputs/replay/.",scripts/corpus_replay.py; scripts/outputs/replay/; tasks/FIX_TRACKER.csv,Both buildings re-run post-honesty-fixes; NOTE-142 status moves to FIXED with the two rates recorded; baseline quotable in thesis.,replay output CSV/MD for both buildings,"2026-08-13 DONE both buildings, 240q each, LLM judge, split metrics. bldg1 (replay_20260813_171223): data-backed 127/240=52.9% | honest 95/240=39.6% | combined 92.5% (July: 44.6%/82.9%). bldg2 (replay_20260813_173804): data-backed 64/240=26.7% | honest 130/240=54.2% | combined 80.8% (old headline 70.4% conflated). The bldg1-vs-bldg2 data-backed gap (52.9 vs 26.7) IS the quantified saturation case. Fails concentrate at L6 both buildings. NOTE-142 closed. THESIS BASELINE - quote the split rates only."
V4-T05,P0-truth,Doc/test hygiene: stale counts and dead code notes,done,,S,Stale facts will trip later edits: CLAUDE.md says 13+1 contract rules (real: 17 parse + 1 post + 1 concept); PlannerAgent.is_complex_query is dead; GoalPlanner is unwired dead code.,1) CLAUDE.md: correct rule counts; add V4 pointers (plan doc + this tracker) to the session-start reading list. 2) Add code comments/tracker notes marking is_complex_query dead and GoalPlanner superseded-by-ARBITER (harvest its three-tier honest answer format later). 3) No behavior changes.,CLAUDE.md; tasks/FIX_TRACKER.csv,CLAUDE.md counts correct; V4 docs linked; NOTE-150 closed.,grep CLAUDE.md for '13 parse',2026-08-13: rule count verified FIRST-HAND (17 PARSE + 1 POST + 1 CONCEPT Rule() entries in routing_contract.py); CLAUDE.md corrected + pinned-order-test warning added. Added ACTIVE WORKSTREAM V4 block (plan + tracker + session protocol + gates) to CLAUDE.md open-issues. Replaced the stale NOTE-101 'provenance CORRECT as-is' bullet with the BUG-144 dispute warning so future sessions don't rely on it. NOTE-150 closed.
V4-T06,P1-saturate,Coverage auditor: space x modality gap matrix,done,,M,"The primitive that does not exist: enumerate every space and diff its sensor coverage against the required modality set, building-agnostically.","1) NEW orchestrator/services/deliberation/coverage_audit.py: subclass-closure space SPARQL (bldg1 rooms are typed Office/Laboratory - plain 'a brick:Room' finds 0 there; bldg2/3 use brick:Room) + point discovery via BOTH brick:hasLocation and brick:isPointOf->equipment paths. 2) Required-modality set loaded from config (NEW config/saturation_modalities.yaml + per-building input/<id>/ overlay; default set: occupancy, co2, temp, humidity, noise, illuminance, door_contact, window_contact) so any QA family that demands a new modality is a config row + new narrow table, never a code change. 3) Emit per-building gap CSV (space, floor, modality, present uuid/storedAt or MISSING). 4) scripts/audit_coverage.py CLI wrapper. 5) Zero building literals - namespace and storedAt keys read from active building.","NEW orchestrator/services/deliberation/{__init__,coverage_audit}.py; NEW scripts/audit_coverage.py; tests/test_coverage_audit.py","Runs unchanged on bldg1 (finds 234 rooms), bldg2 (52), bldg3 (132); gap CSV emitted; unit tests with mocked SPARQL; no literals (source scan).",pytest + run script against live bldg2,"2026-08-13 DONE: orchestrator/services/deliberation/coverage_audit.py (injectable async SparqlExec, subclass-closure space discovery + direct-typing fallback, FOUR location idioms incl. zone-hasPart-room with Floor guard - discovered live on bldg2 where sensors locate in HVAC_Zone hasPart room), config/saturation_modalities.yaml (modality set = config w/ per-building overlay), scripts/audit_coverage.py (endpoint localhost fallback + active identity from input/env.building since host-side settings don't read .env), tests/test_coverage_audit.py 10 tests incl. zero-building-literal source scan (which caught my own docstrings - reworded). LIVE bldg2: 52 spaces x 8 modalities, temperature 50/52 present (96.2%), all other modalities 0% - gap CSV scripts/outputs/coverage/coverage_bldg2_20260813_200222.csv. bldg1(234)/bldg3(132) live validation at their next activation (V4-T31 reruns per building). black/isort/flake8 clean; 22 tests green."
V4-T07,P1-saturate,OCBV TBox additions: ontosage:zoneId + verify isSimulated,done,,S,The provisioner needs a canonical zoneId literal (repairs the manifest-ontology bridge) and per-sensor epistemic labeling.,1) ontology/ontosage_schema.ttl: add ontosage:zoneId datatype property (space -> manifest zone id literal); confirm ontosage:isSimulated exists (buildings audit says yes) else add. 2) rdflib parse + SHACL sanity. 3) Restart-upload; ASK checks.,ontology/ontosage_schema.ttl,rdflib parses clean; GraphDB ASK for both properties true after upload.,curl SPARQL ASK,"2026-08-13 DONE: ontosage:zoneId authored in OCBV TBox (house style, domain brick:Location); isSimulated confirmed pre-existing. rdflib parse 714 triples clean; uploaded via ttl_uploader (schema sha change); live ASK { ontosage:zoneId a owl:DatatypeProperty } = true on bldg2 repo."
V4-T08,P1-saturate,Saturation provisioner: generated TTL per modality into named graphs,done,"V4-T06,V4-T07",L,"Turn the gap matrix into provenance-labeled synthetic sensors: TTL + deterministic UUIDs + dedicated storedAt keys, per modality, as a toggleable named graph.","1) NEW scripts/saturate_building.py: for each gap row emit sensor individual (correct Brick class, brick:hasLocation <space>, ontosage:isSimulated true, rdfs:comment marker) + ref:TimeseriesReference (hasTimeseriesId = uuid5 via DataSourceRegistry.derive_point_uuid; storedAt = sat_<modality> key) via sensor_ttl_generator.generate_timeseries_ttl. 2) One TTL per modality -> input/<id>_saturation_<modality>.ttl, uploaded into named graph urn:ontosage:ds:sat_<modality>. 3) Emit ontosage:zoneId triples for every space. 4) Idempotent re-runs (same UUIDs). 5) bldg2 first. 6) Plan bldg1 pass to supersede the 106 placeholder-UUID enhancement sensors.",NEW scripts/saturate_building.py; orchestrator/services/sensor_ttl_generator.py (reuse); input/<id>_saturation_*.ttl (generated),bldg2: SPARQL sensor counts match gap matrix per modality; all UUIDs hex uuid5; re-run produces byte-identical TTL; named graphs droppable individually.,SPARQL counts per named graph; re-run diff,"2026-08-13 DONE: saturation.py (own TTL emission - generate_timeseries_ttl rejected: emits isPartOf not hasLocation + can't carry isSimulated; ref-block conventions kept; full-IRI emission for dotted locals; @prefix bldg: declaration required by ttl_validator - learned via crash-loop, fixed). scripts/saturate_building.py. LIVE bldg2: 366 simulated sensors across 8 modalities (52/modality, temperature 2) + 52 zoneId triples uploaded into per-file named graphs; SPARQL counts verified (366 sat sensors, 52 zoned spaces); post-provision coverage audit = 100% all 8 modalities. 7 unit tests (determinism, idempotency, contract triples, dotted locals, zoneId heuristics)."
V4-T09,P1-saturate,Narrow tables + registry activation + datasource toggles for bldg2/3,done,V4-T08,M,Rows need somewhere to live and provenance needs to be declared BEFORE first write.,"1) Runtime DDL (load_timeseries_to_db CREATE_SQL pattern, never 'USE sensordb'): create sat narrow tables incl. NEW co2_data + contact_data (0/1) in the active building's DB. 2) Activate the mysql_narrow entries already present in bldg2/bldg3 database_registry.yaml via building.yaml storage.databases. 3) Replicate bldg1's datasources.yaml toggle framework to bldg2/bldg3 with one source per saturation modality (named graph = switch; nature synthetic). 4) Verify adapter routing resolves each sat_* key.",scripts/saturate_building.py (DDL step); bldg2/building.yaml; bldg3/building.yaml; bldg2/datasources.yaml (NEW); bldg3/datasources.yaml (NEW); bldg2+bldg3 database_registry.yaml,Tables exist in bldg2_sensordb; adapter registry resolves every sat_* key; provenance chips for sat tables render synthetic (depends V4-T02 fallback fix).,SQL SHOW TABLES; /api/v1/admin/provenance,"2026-08-13 DONE: 7 narrow tables created in bldg2_sensordb (root DDL + SELECT/INSERT/UPDATE grants to app user); 4 new registry entries (temperature/humidity/co2/contact_data); building.yaml storage.databases activated all 7; input/datasources.yaml NEW for bldg2 (7 synthetic sources, enabled, unlocks empty - provenance labeling only, named-graph is the real switch); /health backends = all 8 keys resolved. Simulated-chip render check deferred to first data-backed answer (T10/T14). SIDE-QUEST: publisher wide-bloat incident found+fixed (BUG-151)."
V4-T10,P1-saturate,Correlated physics-lite generator + 4-6 week backfill (bldg2),done,V4-T09,L,Replace independent random signals with room-coherent ones so ground-truth grading and demo answers are meaningful.,"1) Extend scripts/generate_dummy_timeseries.py (or new module it imports): per-room latent occupancy process (weekday/weekend, arrival/lunch/departure by Brick room type) -> CO2 first-order lag + decay, noise = baseline + occupancy + transients, illuminance = schedule + daylight, door contact events at occupancy transitions (binary support NEW). 2) Deterministic seed per (building, room, day). 3) Backfill 4-6 weeks into narrow tables (ARIMA needs >=30 pts). 4) Add the missing namespace filter to fetch_points (BUG-105 class). 5) Correlation sanity checks in tests (CO2 lags occupancy; night noise < day noise).",scripts/generate_dummy_timeseries.py; tests/test_synthetic_signals.py (NEW),bldg2 narrow tables hold 4-6 weeks coherent history; re-run with same seed byte-identical; sanity checks pass; wide-table behavior for existing sensors unchanged.,SQL spot checks + tests,"2026-08-13 DONE: synthetic_signals.py (deterministic correlated model: per-room occupancy driver -> CO2 first-order lag, noise, lights, debounced door events; weekday/weekend; seeded per building/room/day) + scripts/backfill_saturation.py. LIVE bldg2: 1,844,640 rows across 7 narrow tables (5 weeks, 10-min grid; ran host-side - publisher image predated deliberation pkg, later rebuilt). 10 unit tests (determinism, CO2-lag correlation, day/night noise, binary contacts, weekend structure). E2E VERIFIED: 'CO2 in RM001A right now' -> 494 ppm data-backed answer; 'quietest rooms on floor 1' -> ranked list (TODO-054 shape now answerable). BUG-152 found+fixed en route (hardcoded absence denial)."
